id,artist,track,tag_gender,tag_lang,tag_back_voc,feat_yaafe,feat_marsyas,feat_essentia
5089,the-beatles,let-it-be,mixed,,1,1,1,1
5090,jean-jacques-goldman,la-bas,mixed,fr,0,1,1,1
5091,amel-bent,ma-philosophie,mixed,,1,1,1,1
5092,andrea-bocelli,vivo-per-lei,mixed,,0,1,1,1
5094,billy-joel,honesty,mixed,,1,1,1,1
5097,celine-dion,s-il-suffisait-d-aimer,female,fr,0,1,1,1
5098,charles-aznavour,je-m-voyais-deja,male,fr,0,1,1,1
5100,claude-francois,comme-d-habitude,mixed,,1,1,1,1
5101,debut-de-soiree,nuit-de-folie,mixed,,1,1,1,1
5103,frank-sinatra,my-way,male,en,0,1,1,1
5104,gilbert-becaud,nathalie,mixed,,1,1,1,1
5105,il-etait-une-fois,j-ai-encore-reve-d-elle,mixed,,1,1,1,1
5111,maroon-5,this-love,mixed,,1,1,1,1
5115,patrick-bruel,place-des-grands-hommes,mixed,,1,1,1,1
5117,renaud,mistral-gagnant,male,fr,0,1,1,1
5119,telephone,ca-c-est-vraiment-toi,mixed,,1,1,1,1
5120,telephone,new-york-avec-toi,mixed,,1,1,1,1
5122,thierry-hazard,le-jerk,mixed,,1,1,1,1
5123,umberto-tozzi,ti-amo,mixed,,1,1,1,1
5125,zazie,j-envoie-valser,female,,0,1,1,1
5132,johnny-hallyday,allumer-le-feu,mixed,,1,1,1,1
5139,maroon-5,sunday-morning,mixed,,1,1,1,1
5236,evanescence,my-immortal,mixed,,1,1,1,1
5259,alicia-keys,if-i-ain-t-got-you,mixed,,1,1,1,1
5264,michael-buble,sway,male,en,0,1,1,1
5286,maroon-5,she-will-be-loved,mixed,,1,1,1,1
5313,the-jackson-5,blame-it-on-the-boogie,mixed,,1,1,1,1
5342,kt-tunstall,black-horse-and-the-cherry-tree,mixed,,1,1,1,1
5405,status-quo,rockin-all-over-the-world,mixed,,1,1,1,1
5407,lionel-richie,all-night-long,mixed,,1,1,1,1
5408,donna-summer,hot-stuff,mixed,,1,1,1,1
5411,chris-de-burgh,the-lady-in-red,mixed,,1,1,1,1
5416,elton-john,your-song,male,en,0,1,1,1
5423,katrina-and-the-waves,walking-on-sunshine,mixed,,1,1,1,1
5446,corinne-bailey-rae,put-your-records-on,mixed,,1,1,1,1
5449,europe,the-final-countdown,mixed,,1,1,1,1
5454,usa-for-africa,we-are-the-world,mixed,,1,1,1,1
5458,status-quo,down-down,mixed,,1,1,1,1
5460,queen,i-want-to-break-free,mixed,,1,1,1,1
5462,creedence-clearwater-revival,proud-mary,mixed,,1,1,1,1
5466,gary-moore,still-got-the-blues,male,en,0,1,1,1
5468,whitney-houston,i-wanna-dance-with-somebody,mixed,,1,1,1,1
5471,bill-withers,ain-t-no-sunshine,male,en,0,1,1,1
5479,smokie,living-next-door-to-alice,mixed,,1,1,1,1
5482,roy-orbison,oh-pretty-woman,mixed,,1,1,1,1
5484,john-denver,annie-s-song,mixed,,1,1,1,1
5485,boney-m,daddy-cool,mixed,,1,1,1,1
5487,alicia-keys,fallin,mixed,,1,1,1,1
5506,robbie-williams,somethin-stupid,mixed,en,0,1,1,1
5516,rod-stewart,sailing,mixed,,1,1,1,1
5519,tina-turner,the-best,mixed,,1,1,1,1
5526,the-police,message-in-a-bottle,mixed,,1,1,1,1
5527,ronan-keating,we-ve-got-tonight,mixed,en,0,1,1,1
5545,christina-aguilera,car-wash,mixed,,1,1,1,1
5549,michael-buble,quando-quando-quando,mixed,en,0,1,1,1
5583,kelly-clarkson,because-of-you,mixed,,1,1,1,1
5606,georges-brassens,les-copains-d-abord,mixed,,1,1,1,1
5635,papa-roach,scars,mixed,,1,1,1,1
5652,howie-day,collide,mixed,,1,1,1,1
5682,luther-vandross,dance-with-my-father,mixed,,1,1,1,1
5709,elvis-presley,hey-jude,mixed,,1,1,1,1
5736,toby-keith,i-love-this-bar,mixed,,1,1,1,1
5740,3-doors-down,here-without-you,mixed,,1,1,1,1
5743,outkast,hey-ya,mixed,,1,1,1,1
5760,josh-turner,long-black-train,mixed,,1,1,1,1
5777,bette-midler,the-rose,mixed,,1,1,1,1
5781,alan-jackson,remember-when,mixed,,1,1,1,1
5796,britney-spears,toxic,mixed,,1,1,1,1
5830,josh-groban,you-raise-me-up,mixed,,1,1,1,1
5832,gretchen-wilson,redneck-woman,mixed,,1,1,1,1
5844,brad-paisley,whiskey-lullaby,mixed,,1,1,1,1
5910,edith-piaf,la-vie-en-rose,female,fr,0,1,1,1
5911,edith-piaf,non-je-ne-regrette-rien,female,fr,0,1,1,1
5919,britney-spears,baby-one-more-time,mixed,,1,1,1,1
5921,gloria-gaynor,i-will-survive,female,en,0,1,1,1
5936,the-coasters,poison-ivy,mixed,,1,1,1,1
5942,celine-dion,my-heart-will-go-on,mixed,,1,1,1,1
5943,celine-dion,all-by-myself,female,en,0,1,1,1
5952,garou,sous-le-vent,mixed,,1,1,1,1
5965,jean-jacques-goldman,envole-moi,mixed,,1,1,1,1
5968,jean-jacques-goldman,je-te-donne,mixed,,1,1,1,1
5969,jean-jacques-goldman,quand-la-musique-est-bonne,mixed,,1,1,1,1
5990,joe-dassin,l-amerique,mixed,,1,1,1,1
5993,lara-fabian,tu-es-mon-autre,females,fr,0,1,1,1
5995,joe-dassin,et-si-tu-n-existais-pas,mixed,,1,1,1,1
5996,joe-dassin,les-champs-elysees,mixed,,1,1,1,1
5999,joe-dassin,salut-les-amoureux,mixed,,1,1,1,1
6001,hugues-aufray,santiano,mixed,,1,1,1,1
6006,marc-lavoine,elle-a-les-yeux-revolver,mixed,,1,1,1,1
6011,nadiya,et-c-est-parti,mixed,,1,1,1,1
6041,dwight-yoakam,fast-as-you,mixed,,1,1,1,1
6094,michael-jackson,black-or-white,mixed,,1,1,1,1
6097,diana-ross,endless-love,mixed,en,0,1,1,1
6100,sarah-mclachlan,angel,female,en,0,1,1,1
6106,kyo,le-chemin,mixed,,1,1,1,1
6117,bonnie-tyler,total-eclipse-of-the-heart,mixed,,1,1,1,1
6122,engelbert-humperdinck,after-the-lovin,mixed,,1,1,1,1
6126,patsy-cline,crazy,mixed,,1,1,1,1
6132,the-eagles,desperado,mixed,,1,1,1,1
6136,patsy-cline,i-fall-to-pieces,mixed,,1,1,1,1
6145,the-eagles,one-of-these-nights,mixed,,1,1,1,1
6150,garth-brooks,the-dance,male,en,0,1,1,1
6156,celine-dion,when-i-fall-in-love,mixed,en,0,1,1,1
6159,hank-williams-sr,your-cheatin-heart,male,en,0,1,1,1
6177,steppenwolf,born-to-be-wild,male,en,0,1,1,1
6178,the-everly-brothers,bye-bye-love,mixed,,1,1,1,1
6183,aretha-franklin,respect,mixed,,1,1,1,1
6185,tammy-wynette,stand-by-your-man,mixed,,1,1,1,1
6196,patrick-bruel,j-te-l-dis-quand-meme,male,fr,0,1,1,1
6208,catherine-zeta-jones,all-that-jazz,mixed,,1,1,1,1
6209,audioslave,like-a-stone,mixed,,1,1,1,1
6213,evanescence,bring-me-to-life,mixed,,1,1,1,1
6228,neil-diamond,hello-again,male,en,0,1,1,1
6286,cher,if-i-could-turn-back-time,mixed,,1,1,1,1
6287,conway-twitty,it-s-only-make-believe,mixed,,1,1,1,1
6330,madonna,vogue,mixed,,1,1,1,1
6353,bonnie-raitt,i-can-t-make-you-love-me,mixed,,1,1,1,1
6355,foreigner,i-want-to-know-what-love-is,mixed,,1,1,1,1
6390,whitney-houston,one-moment-in-time,mixed,,1,1,1,1
6423,alan-jackson,chattahoochee,mixed,,1,1,1,1
6432,eric-clapton,layla,mixed,,1,1,1,1
6475,4-non-blondes,what-s-up,mixed,,1,1,1,1
6497,ray-charles,hit-the-road-jack,mixed,,1,1,1,1
6520,a-chorus-line,one,female,,0,1,1,1
6545,spin-doctors,two-princes,mixed,,1,1,1,1
6566,brenda-lee,rockin-around-the-christmas-tree,mixed,,1,1,1,1
6573,bette-midler,wind-beneath-my-wings,mixed,,1,1,1,1
6588,reba-mcentire,fancy,mixed,,1,1,1,1
6603,garth-brooks,if-tomorrow-never-comes,mixed,,1,1,1,1
6623,garth-brooks,the-thunder-rolls,mixed,,1,1,1,1
6656,johnny-cash,folsom-prison-blues,male,en,0,1,1,1
6698,elvis-presley,oh-happy-day,mixed,,1,1,1,1
6725,nat-king-cole,unforgettable,male,en,0,1,1,1
6728,billy-ray-cyrus,achy-breaky-heart,mixed,,1,1,1,1
6751,george-strait,i-cross-my-heart,mixed,,1,1,1,1
6781,queen,the-show-must-go-on,mixed,,1,1,1,1
6782,les-dix-commandements,l-envie-d-aimer,mixed,,1,1,1,1
6799,marvin-gaye,ain-t-no-mountain-high-enough,mixed,en,0,1,1,1
6820,blake-shelton,ol-red,mixed,,1,1,1,1
6831,norah-jones,don-t-know-why,mixed,,1,1,1,1
6894,the-ronettes,be-my-baby,mixed,,1,1,1,1
6898,randy-travis,forever-and-ever-amen,mixed,,1,1,1,1
6903,whitney-houston,i-have-nothing,mixed,,1,1,1,1
6911,neil-diamond,love-on-the-rocks,male,en,0,1,1,1
6913,bobby-darin,mack-the-knife,male,en,0,1,1,1
6922,elvis-presley,suspicious-minds,mixed,,1,1,1,1
6926,village-people,y-m-c-a,mixed,,1,1,1,1
6980,jerry-lee-lewis,great-balls-of-fire,male,en,0,1,1,1
6985,dion,runaround-sue,mixed,,1,1,1,1
6989,eric-clapton,tears-in-heaven,,en,0,1,1,1
6992,dion,the-wanderer,mixed,,1,1,1,1
6998,elvis-presley,return-to-sender,mixed,,1,1,1,1
7013,elvis-presley,blue-suede-shoes,male,en,0,1,1,1
7015,van-morrison,brown-eyed-girl,mixed,,1,1,1,1
7020,elvis-presley,don-t-be-cruel,mixed,,1,1,1,1
7053,the-charlie-daniels-band,devil-went-down-to-georgia,mixed,,1,1,1,1
7056,elvis-presley,treat-me-nice,mixed,,1,1,1,1
7061,elvis-presley,always-on-my-mind,mixed,,1,1,1,1
7113,aladdin,a-whole-new-world,mixed,,0,1,1,1
7125,garth-brooks,friends-in-low-places,mixed,,1,1,1,1
7137,mary-chapin-carpenter,i-feel-lucky,mixed,,1,1,1,1
7149,chubby-checker,let-s-twist-again,mixed,,1,1,1,1
7175,bobby-darin,splish-splash,male,en,0,1,1,1
7191,patsy-cline,walkin-after-midnight,mixed,,1,1,1,1
7231,juanes,la-camisa-negra,mixed,,1,1,1,1
7252,survivor,eye-of-the-tiger,,en,0,1,1,1
7295,snow-patrol,chasing-cars,mixed,,1,1,1,1
7300,abba,dancing-queen,mixed,,1,1,1,1
7302,abba,mamma-mia,mixed,,1,1,1,1
7304,abba,waterloo,mixed,,1,1,1,1
7383,3-doors-down,kryptonite,mixed,,1,1,1,1
7398,engelbert-humperdinck,quando-quando-quando,mixed,,1,1,1,1
7499,red-hot-chili-peppers,californication,mixed,,1,1,1,1
7536,the-bee-gees,you-should-be-dancing,mixed,,1,1,1,1
7544,dean-martin,baby-it-s-cold-outside,mixed,en,0,1,1,1
7557,bon-jovi,it-s-my-life,mixed,,1,1,1,1
7624,peaches-and-herb,shake-your-groove-thing,mixed,,1,1,1,1
7626,santana,black-magic-woman,male,en,0,1,1,1
7645,elvis-presley,american-trilogy,mixed,,1,1,1,1
7650,elvis-presley,good-rockin-tonight,male,en,0,1,1,1
7707,meat-loaf,paradise-by-the-dashboard-light,mixed,,1,1,1,1
7774,soggy-bottom-boys,i-am-a-man-of-constant-sorrow,mixed,,1,1,1,1
7870,moulin-rouge,lady-marmalade,mixed,,1,1,1,1
8042,pete-seeger,this-land-is-your-land,mixed,,1,1,1,1
8052,joe-cocker,with-a-little-help-from-my-friends,mixed,,1,1,1,1
8110,gilbert-montagne,on-va-s-aimer,mixed,,1,1,1,1
8111,gold,plus-pres-des-etoiles,mixed,,1,1,1,1
8164,images,les-demons-de-minuit,mixed,,1,1,1,1
8171,louise-attaque,j-t-emmene-au-vent,mixed,,1,1,1,1
8176,patrick-hernandez,born-to-be-alive,mixed,,1,1,1,1
8203,alannah-myles,black-velvet,mixed,,1,1,1,1
8231,cyndi-lauper,girls-just-wanna-have-fun,mixed,,1,1,1,1
8285,kool-and-the-gang,celebration,mixed,,1,1,1,1
8289,wilson-pickett,mustang-sally,mixed,,1,1,1,1
8292,dusty-springfield,son-of-a-preacher-man,mixed,,1,1,1,1
8327,rednex,cotton-eyed-joe,mixed,,1,1,1,1
8526,ricky-martin,livin-la-vida-loca,mixed,,1,1,1,1
8548,lonestar,amazed,mixed,,1,1,1,1
8596,creedence-clearwater-revival,bad-moon-rising,male,en,0,1,1,1
8643,barry-white,you-re-the-first-the-last-my-everything,mixed,,1,1,1,1
8700,santana,smooth,mixed,,1,1,1,1
8711,cabaret,maybe-this-time,female,en,0,1,1,1
8734,lou-bega,mambo-no-5,mixed,,1,1,1,1
8859,christina-aguilera,i-turn-to-you,mixed,,1,1,1,1
8885,bobby-darin,dream-lover,mixed,,1,1,1,1
8917,red-hot-chili-peppers,otherside,mixed,,1,1,1,1
8964,the-foundations,build-me-up-buttercup,mixed,,1,1,1,1
9014,the-carpenters,please-mr-postman,mixed,,1,1,1,1
9025,goo-goo-dolls,iris,mixed,,1,1,1,1
9066,the-temptations,my-girl,mixed,,1,1,1,1
9074,the-mavericks,dance-the-night-away,mixed,,1,1,1,1
9127,noir-desir,le-vent-nous-portera,male,fr,0,1,1,1
9151,aerosmith,i-don-t-want-to-miss-a-thing,mixed,,1,1,1,1
9163,abba,i-have-a-dream,mixed,,1,1,1,1
9166,abba,thank-you-for-the-music,mixed,,1,1,1,1
9450,the-tokens,the-lion-sleeps-tonight,mixed,,1,1,1,1
9455,joan-jett,i-love-rock-n-roll,mixed,,1,1,1,1
9517,dean-martin,that-s-amore,mixed,,1,1,1,1
9539,tom-jones,it-s-not-unusual,mixed,,1,1,1,1
9721,michel-fugain,une-belle-histoire,mixed,,1,1,1,1
9777,the-righteous-brothers,you-ve-lost-that-loving-feeling,mixed,,1,1,1,1
9811,james-taylor,fire-and-rain,male,en,0,1,1,1
9938,the-eagles,new-kid-in-town,mixed,,1,1,1,1
9939,the-eagles,lyin-eyes,mixed,,1,1,1,1
