id,artist,track,tag_gender,tag_lang,tag_back_voc,feat_yaafe,feat_marsyas,feat_essentia,origin_laci,origin_yann
5025,christmas-carol,we-wish-you-a-merry-christmas,mixed,,1,1,1,1,0,0
5036,traditional,when-the-saints-go-marching-in,female,,0,1,1,1,0,0
5037,traditional,house-of-the-rising-sun,male,,0,1,1,1,0,0
5039,nursery-rhyme,twinkle-twinkle-little-star,mixed,en,0,1,1,1,0,0
5046,traditional,greensleeves,female,,0,1,1,1,0,0
5062,mexican-traditional,la-bamba,male,es,0,1,1,1,0,0
5063,happy-birthday-songs,happy-birthday,mixed,en,0,1,1,1,0,0
5065,traditional,amazing-grace,mixed,,1,1,1,1,0,0
5066,christmas-carol,jingle-bells,mixed,,1,1,1,1,0,0
5073,comptine,une-souris-verte,female,fr,0,1,1,1,0,0
5074,traditional,danny-boy,male,en,0,1,1,1,0,0
5081,christmas-carol,douce-nuit-sainte-nuit,female,fr,0,1,1,1,0,0
5082,christmas-carol,silent-night,male,en,0,1,1,1,0,0
5085,christmas-carol,mon-beau-sapin,female,fr,0,1,1,1,0,0
5089,the-beatles,let-it-be,mixed,,1,1,1,1,1,mp3_320
5090,jean-jacques-goldman,la-bas,mixed,fr,0,1,1,1,0,0
5091,amel-bent,ma-philosophie,mixed,,1,1,1,1,0,0
5092,andrea-bocelli,vivo-per-lei,mixed,,0,1,1,1,0,0
5094,billy-joel,honesty,mixed,,1,1,1,1,0,0
5097,celine-dion,s-il-suffisait-d-aimer,female,fr,0,1,1,1,0,0
5098,charles-aznavour,je-m-voyais-deja,male,fr,0,1,1,1,0,0
5099,claude-francois,alexandrie-alexandra,mixed,,1,0,0,1,0,0
5100,claude-francois,comme-d-habitude,mixed,,1,1,1,1,0,mp3_320
5101,debut-de-soiree,nuit-de-folie,mixed,,1,1,1,1,0,0
5103,frank-sinatra,my-way,male,en,0,1,1,1,0,0
5104,gilbert-becaud,nathalie,mixed,,1,1,1,1,0,0
5105,il-etait-une-fois,j-ai-encore-reve-d-elle,mixed,,1,1,1,1,0,0
5111,maroon-5,this-love,mixed,,1,1,1,1,0,0
5114,patricia-kaas,il-me-dit-que-je-suis-belle,,,0,0,0,0,0,0
5115,patrick-bruel,place-des-grands-hommes,mixed,,1,1,1,1,0,0
5116,peter-et-sloane,besoin-de-rien-envie-de-toi,mixed,,1,0,0,1,0,0
5117,renaud,mistral-gagnant,male,fr,0,1,1,1,0,0
5119,telephone,ca-c-est-vraiment-toi,mixed,,1,1,1,1,0,mp3_128
5120,telephone,new-york-avec-toi,mixed,,1,1,1,1,0,mp3_128
5121,the-mamas-and-the-papas,california-dreamin,,,0,1,0,1,0,0
5122,thierry-hazard,le-jerk,mixed,,1,1,1,1,0,0
5123,umberto-tozzi,ti-amo,mixed,,1,1,1,1,0,mp3_128
5125,zazie,j-envoie-valser,female,,0,1,1,1,0,0
5128,carla-bruni,quelqu-un-m-a-dit,,,0,0,0,0,0,0
5129,the-rolling-stones,i-can-t-get-no-satisfaction,mixed,,1,1,0,1,0,0
5130,alain-souchon,foule-sentimentale,,,0,0,0,0,0,0
5132,johnny-hallyday,allumer-le-feu,mixed,,1,1,1,1,0,0
5133,johnny-hallyday,que-je-t-aime,,,0,0,0,1,0,0
5139,maroon-5,sunday-morning,mixed,,1,1,1,1,0,0
5151,elvis-presley,rubberneckin-remix,,,0,0,0,0,0,0
5187,beyonce,crazy-in-love,,,0,0,0,0,0,0
5189,dido,white-flag,,,0,0,0,0,0,0
5236,evanescence,my-immortal,mixed,,1,1,1,1,0,0
5259,alicia-keys,if-i-ain-t-got-you,mixed,,1,1,1,1,0,0
5264,michael-buble,sway,male,en,0,1,1,1,0,0
5269,britney-spears,everytime,,,0,0,0,0,0,0
5286,maroon-5,she-will-be-loved,mixed,,1,1,1,1,0,0
5313,the-jackson-5,blame-it-on-the-boogie,mixed,,1,1,1,1,0,0
5340,michael-buble,home,,,0,0,0,0,0,0
5342,kt-tunstall,black-horse-and-the-cherry-tree,mixed,,1,1,1,1,0,0
5359,elton-john,electricity,,,0,0,0,0,0,0
5361,the-phantom-of-the-opera,the-phantom-of-the-opera,,,0,0,0,0,0,0
5365,daniel-powter,bad-day,,,0,0,0,0,0,0
5368,kt-tunstall,suddenly-i-see,,,0,0,0,0,0,0
5372,coldplay,fix-you,,,0,0,0,0,0,0
5383,westlife,you-raise-me-up,,,0,0,0,0,0,0
5405,status-quo,rockin-all-over-the-world,mixed,,1,1,1,1,0,0
5407,lionel-richie,all-night-long,mixed,,1,1,1,1,0,0
5408,donna-summer,hot-stuff,mixed,,1,1,1,1,0,0
5409,ub40,kingston-town,male,,0,0,0,0,0,0
5411,chris-de-burgh,the-lady-in-red,mixed,,1,1,1,1,0,0
5416,elton-john,your-song,male,en,0,1,1,1,0,0
5422,sade,smooth-operator,,,0,0,0,0,0,0
5423,katrina-and-the-waves,walking-on-sunshine,mixed,,1,1,1,1,0,0
5446,corinne-bailey-rae,put-your-records-on,mixed,,1,1,1,1,0,0
5447,the-bee-gees,stayin-alive,,,0,0,0,0,0,0
5449,europe,the-final-countdown,mixed,,1,1,1,1,1,0
5450,ub40,red-red-wine,male,,0,0,0,0,0,0
5451,abba,abba-medley,,,0,0,0,0,0,0
5454,usa-for-africa,we-are-the-world,mixed,,1,1,1,1,0,0
5458,status-quo,down-down,mixed,,1,1,1,1,0,0
5460,queen,i-want-to-break-free,mixed,,1,1,1,1,0,mp3_320
5461,tom-jones,delilah,,,0,0,0,0,0,0
5462,creedence-clearwater-revival,proud-mary,mixed,,1,1,1,1,0,0
5466,gary-moore,still-got-the-blues,male,en,0,1,1,1,0,0
5468,whitney-houston,i-wanna-dance-with-somebody,mixed,,1,1,1,1,0,0
5471,bill-withers,ain-t-no-sunshine,male,en,0,1,1,1,0,0
5472,the-supremes,baby-love,,,0,0,0,0,0,0
5476,johnny-cash,ring-of-fire,,,0,0,0,0,0,0
